time,gFx,gFy,gFz,gFTotal
4.739,-0.361,-0.639,-1.085,1.310
4.749,-0.345,-0.662,-1.138,1.361
4.759,-0.359,-0.712,-1.211,1.450
4.769,-0.362,-0.753,-1.259,1.511
4.779,-0.387,-0.753,-1.253,1.512
4.789,-0.368,-0.712,-1.234,1.471
4.799,-0.347,-0.682,-1.219,1.440
4.809,-0.334,-0.622,-1.232,1.420
4.819,-0.339,-0.574,-1.235,1.403
4.829,-0.367,-0.542,-1.211,1.376
4.839,-0.381,-0.522,-1.157,1.325
4.849,-0.373,-0.496,-1.098,1.262
4.859,-0.352,-0.456,-1.098,1.240
4.869,-0.318,-0.415,-1.119,1.235
4.879,-0.287,-0.374,-1.147,1.241
4.889,-0.267,-0.348,-1.178,1.257
4.899,-0.254,-0.320,-1.188,1.256
4.909,-0.236,-0.315,-1.154,1.220
4.919,-0.220,-0.298,-1.148,1.206
4.929,-0.200,-0.266,-1.122,1.171
4.939,-0.183,-0.208,-1.128,1.162
4.949,-0.162,-0.182,-1.120,1.146
4.959,-0.159,-0.191,-1.119,1.147
4.969,-0.175,-0.172,-1.129,1.155
4.979,-0.182,-0.148,-1.151,1.175
4.989,-0.195,-0.140,-1.152,1.177
4.999,-0.203,-0.140,-1.121,1.148
5.009,-0.184,-0.133,-1.101,1.124
5.019,-0.158,-0.117,-1.085,1.103
5.029,-0.153,-0.103,-1.077,1.093
5.039,-0.150,-0.089,-1.066,1.080
5.048,-0.150,-0.064,-1.048,1.061
5.059,-0.164,-0.051,-1.022,1.036
5.068,-0.164,-0.038,-0.966,0.981
5.079,-0.152,0.004,-0.932,0.944
5.088,-0.144,0.036,-0.918,0.930
5.098,-0.139,0.061,-0.899,0.911
5.108,-0.122,0.066,-0.852,0.864
5.118,-0.094,0.095,-0.812,0.823
5.128,-0.118,0.123,-0.797,0.815
5.138,-0.151,0.121,-0.774,0.798
5.148,-0.167,0.099,-0.763,0.787
5.158,-0.170,0.098,-0.781,0.806
5.168,-0.163,0.145,-0.763,0.794
5.178,-0.158,0.186,-0.755,0.793
5.188,-0.146,0.200,-0.730,0.771
5.198,-0.182,0.173,-0.706,0.749
5.208,-0.187,0.144,-0.696,0.735
5.218,-0.184,0.163,-0.697,0.739
5.228,-0.144,0.234,-0.678,0.732
5.238,-0.074,0.325,-0.664,0.743
5.248,-0.039,0.369,-0.694,0.787
5.258,-0.001,0.384,-0.694,0.793
5.268,0.044,0.402,-0.681,0.792
5.278,0.066,0.403,-0.669,0.784
5.288,0.076,0.403,-0.646,0.765
5.298,0.087,0.372,-0.651,0.755
5.308,0.092,0.348,-0.695,0.782
5.318,0.066,0.331,-0.745,0.818
5.328,0.005,0.303,-0.790,0.846
5.338,-0.038,0.277,-0.817,0.864
5.348,-0.045,0.270,-0.838,0.881
5.358,-0.067,0.276,-0.896,0.940
5.368,-0.100,0.298,-0.945,0.996
5.378,-0.116,0.324,-0.959,1.018
5.388,-0.112,0.317,-0.981,1.037
5.398,-0.122,0.245,-1.002,1.039
5.408,-0.133,0.157,-1.020,1.041
5.418,-0.138,0.096,-1.049,1.062
5.428,-0.159,0.049,-1.081,1.094
5.438,-0.192,0.013,-1.114,1.130
5.448,-0.233,-0.026,-1.152,1.176
5.458,-0.237,-0.006,-1.138,1.162
5.468,-0.210,0.067,-1.113,1.135
5.478,-0.210,0.086,-1.098,1.121
5.488,-0.220,0.065,-1.065,1.090
5.498,-0.245,0.030,-1.087,1.114
5.508,-0.259,-0.002,-1.185,1.213
5.518,-0.229,-0.084,-1.241,1.265
5.528,-0.190,-0.169,-1.262,1.288
5.538,-0.160,-0.198,-1.241,1.267
5.547,-0.149,-0.211,-1.175,1.203
5.558,-0.135,-0.211,-1.092,1.120
5.568,-0.109,-0.190,-1.027,1.050
5.578,-0.117,-0.150,-1.002,1.020
5.588,-0.109,-0.170,-0.976,0.997
5.597,-0.080,-0.240,-0.971,1.003
5.607,-0.062,-0.328,-1.015,1.068
5.618,-0.075,-0.457,-1.091,1.185
5.627,-0.070,-0.542,-1.086,1.216
5.638,-0.036,-0.547,-1.022,1.160
5.647,0.000,-0.515,-0.935,1.068
5.658,0.023,-0.482,-0.854,0.981
5.668,0.037,-0.469,-0.834,0.957
5.677,0.049,-0.462,-0.900,1.013
5.687,0.044,-0.459,-0.938,1.045
5.697,0.024,-0.488,-0.950,1.068
5.707,0.003,-0.524,-0.972,1.105
5.717,-0.031,-0.565,-1.009,1.157
5.727,-0.064,-0.616,-1.049,1.218
5.737,-0.079,-0.665,-1.073,1.265
5.747,-0.098,-0.707,-1.102,1.313
5.757,-0.109,-0.711,-1.082,1.300
5.767,-0.118,-0.698,-1.059,1.274
5.777,-0.119,-0.682,-1.049,1.257
5.787,-0.128,-0.686,-1.027,1.242
5.797,-0.133,-0.697,-0.988,1.216
5.807,-0.120,-0.695,-0.937,1.172
5.817,-0.122,-0.683,-0.891,1.129
5.827,-0.157,-0.669,-0.847,1.091
5.837,-0.195,-0.679,-0.851,1.106
5.847,-0.262,-0.708,-0.941,1.206
5.857,-0.361,-0.680,-0.998,1.260
5.867,-0.432,-0.607,-0.981,1.232
5.877,-0.397,-0.522,-0.897,1.111
5.887,-0.312,-0.445,-0.779,0.949
