gFx,gFy,gFz
-0.051,0.065,-1.193
-0.046,0.011,-1.172
-0.045,-0.044,-1.192
-0.052,-0.106,-1.294
-0.05,-0.136,-1.462
-0.021,-0.114,-1.648
0.029,-0.05,-1.805
0.074,0.018,-1.892
0.12,0.078,-1.874
0.165,0.111,-1.767
0.203,0.114,-1.612
0.223,0.086,-1.443
0.212,0.027,-1.29
0.177,-0.032,-1.181
0.118,-0.069,-1.118
0.058,-0.091,-1.088
0.029,-0.107,-1.079
0.03,-0.115,-1.078
0.052,-0.111,-1.069
0.08,-0.097,-1.043
0.106,-0.082,-0.997
0.127,-0.064,-0.938
0.134,-0.048,-0.874
0.136,-0.044,-0.807
0.13,-0.05,-0.746
0.117,-0.069,-0.694
0.099,-0.097,-0.662
0.084,-0.123,-0.635
0.082,-0.145,-0.609
0.084,-0.159,-0.581
0.083,-0.163,-0.551
0.076,-0.168,-0.525
0.065,-0.171,-0.513
0.053,-0.172,-0.526
0.034,-0.173,-0.561
0.015,-0.179,-0.612
0.009,-0.184,-0.672
0.014,-0.188,-0.75
0.029,-0.184,-0.849
0.049,-0.167,-0.953
0.071,-0.137,-1.055
0.107,-0.095,-1.141
0.16,-0.052,-1.196
0.223,-0.024,-1.224
0.276,-0.009,-1.221
0.313,-0.01,-1.189
0.322,-0.036,-1.131
0.308,-0.079,-1.079
0.253,-0.128,-1.045
0.166,-0.16,-1.026
0.084,-0.178,-1.033
0.022,-0.206,-1.099
-0.012,-0.216,-1.24
-0.017,-0.174,-1.418
-0.001,-0.097,-1.569
0.054,-0.023,-1.666
0.146,0.041,-1.685
0.226,0.091,-1.625
0.278,0.127,-1.48
0.302,0.131,-1.291
0.304,0.1,-1.101
0.287,0.046,-0.93
0.25,-0.035,-0.813
0.21,-0.128,-0.763
0.149,-0.205,-0.784
0.068,-0.228,-0.846
-0.004,-0.185,-0.932
-0.035,-0.102,-1.035
-0.028,-0.029,-1.134
0.015,0.034,-1.218
0.087,0.076,-1.291
0.152,0.108,-1.33
0.201,0.148,-1.31
0.24,0.177,-1.247
0.266,0.186,-1.158
0.283,0.177,-1.063
0.285,0.148,-0.962
0.274,0.107,-0.865
0.256,0.059,-0.768
0.238,0.019,-0.681
0.217,-0.024,-0.605
0.195,-0.069,-0.539
0.168,-0.121,-0.486
0.137,-0.161,-0.438
0.115,-0.193,-0.398
0.102,-0.223,-0.37
0.092,-0.241,-0.341
0.08,-0.257,-0.313
0.07,-0.276,-0.304
0.047,-0.28,-0.31
-0.016,-0.256,-0.335
-0.1,-0.231,-0.403
-0.14,-0.208,-0.514
-0.139,-0.182,-0.669
-0.113,-0.129,-0.869
-0.049,-0.055,-1.101
0.028,0.033,-1.325
0.083,0.133,-1.459
0.125,0.204,-1.49
0.148,0.222,-1.431
0.159,0.17,-1.322
0.158,0.075,-1.204
0.125,-0.009,-1.096
0.073,-0.062,-1.033
0.033,-0.132,-1.085
0.042,-0.186,-1.252
0.069,-0.166,-1.445
0.123,-0.089,-1.616
0.181,-0.012,-1.732
0.224,0.065,-1.768
0.249,0.128,-1.711
0.251,0.152,-1.601
0.22,0.144,-1.469
0.169,0.104,-1.326
0.104,0.032,-1.193
0.029,-0.046,-1.105
-0.042,-0.107,-1.072
-0.108,-0.145,-1.08
-0.149,-0.159,-1.098
-0.144,-0.158,-1.097
-0.101,-0.152,-1.064
-0.042,-0.142,-1.003
0.009,-0.131,-0.925
0.029,-0.127,-0.831
0.033,-0.135,-0.727
0.038,-0.148,-0.634
0.052,-0.147,-0.554
0.082,-0.15,-0.508
0.125,-0.16,-0.489
0.168,-0.164,-0.493
0.193,-0.158,-0.504
0.197,-0.15,-0.522
0.206,-0.142,-0.545
0.213,-0.134,-0.58
0.211,-0.128,-0.617
