gFx,gFy,gFz
-0.352,-0.491,-1.039
-0.353,-0.47,-1.004
-0.392,-0.446,-1.068
-0.4,-0.44,-1.198
-0.322,-0.361,-1.274
-0.219,-0.276,-1.285
-0.141,-0.273,-1.267
-0.1,-0.319,-1.235
-0.076,-0.361,-1.186
-0.057,-0.369,-1.13
-0.048,-0.354,-1.076
-0.035,-0.358,-1.009
-0.015,-0.371,-0.954
0.011,-0.383,-0.921
0.051,-0.399,-0.883
0.092,-0.372,-0.831
0.132,-0.278,-0.806
0.197,-0.185,-0.737
0.213,-0.141,-0.739
0.151,-0.156,-0.782
0.105,-0.182,-0.804
0.149,-0.141,-0.791
0.254,-0.106,-0.756
0.357,-0.144,-0.727
0.395,-0.213,-0.714
0.414,-0.22,-0.667
0.431,-0.181,-0.604
0.432,-0.157,-0.546
0.405,-0.172,-0.514
0.364,-0.207,-0.5
0.336,-0.214,-0.498
0.306,-0.213,-0.513
0.271,-0.244,-0.548
0.238,-0.251,-0.607
0.24,-0.23,-0.691
0.292,-0.137,-0.724
0.327,-0.078,-0.72
0.358,-0.085,-0.725
0.395,-0.097,-0.76
0.446,-0.091,-0.81
0.499,-0.071,-0.833
0.535,-0.058,-0.81
0.536,-0.07,-0.747
0.518,-0.081,-0.65
0.501,-0.096,-0.569
0.478,-0.108,-0.546
0.439,-0.113,-0.575
0.382,-0.116,-0.665
0.33,-0.144,-0.773
0.281,-0.127,-0.897
0.241,-0.157,-1.059
0.196,-0.209,-1.202
0.156,-0.225,-1.31
0.106,-0.23,-1.414
0.038,-0.27,-1.49
-0.021,-0.314,-1.491
-0.052,-0.346,-1.448
-0.071,-0.388,-1.394
-0.096,-0.448,-1.368
-0.141,-0.533,-1.363
-0.208,-0.613,-1.364
-0.295,-0.663,-1.377
-0.378,-0.689,-1.401
-0.45,-0.703,-1.452
-0.531,-0.678,-1.541
-0.618,-0.668,-1.636
-0.686,-0.687,-1.712
-0.682,-0.711,-1.733
-0.623,-0.709,-1.694
-0.567,-0.689,-1.632
-0.539,-0.671,-1.609
-0.526,-0.613,-1.615
-0.513,-0.527,-1.631
-0.495,-0.449,-1.644
-0.439,-0.383,-1.63
-0.34,-0.318,-1.585
-0.223,-0.265,-1.528
-0.106,-0.229,-1.471
0.015,-0.197,-1.415
0.116,-0.168,-1.347
0.157,-0.155,-1.253
0.174,-0.135,-1.131
0.193,-0.107,-1.045
0.217,-0.097,-1.065
0.245,-0.1,-1.129
0.264,-0.091,-1.148
0.305,-0.063,-1.143
0.379,-0.036,-1.134
0.429,-0.049,-1.078
0.477,-0.045,-0.959
0.542,0.009,-0.829
0.589,0.051,-0.71
0.623,0.052,-0.585
0.657,0.059,-0.466
0.674,0.08,-0.385
0.646,0.09,-0.364
0.582,0.084,-0.398
0.534,0.092,-0.453
0.492,0.101,-0.49
0.457,0.101,-0.519
0.446,0.103,-0.544
0.448,0.09,-0.556
0.45,0.057,-0.547
0.425,0.018,-0.516
0.388,-0.013,-0.454
0.358,-0.022,-0.392
0.326,-0.039,-0.37
0.304,-0.072,-0.404
0.288,-0.102,-0.475
0.276,-0.135,-0.548
0.266,-0.17,-0.599
0.242,-0.211,-0.626
0.198,-0.253,-0.633
0.147,-0.29,-0.629
0.105,-0.335,-0.644
0.074,-0.388,-0.674
0.053,-0.429,-0.724
0.038,-0.461,-0.792
0.024,-0.483,-0.858
0,-0.507,-0.904
-0.032,-0.532,-0.937
-0.072,-0.544,-0.975
-0.104,-0.556,-1.021
-0.131,-0.567,-1.086
-0.171,-0.572,-1.151
-0.215,-0.569,-1.181
-0.243,-0.571,-1.176
-0.25,-0.576,-1.174
-0.246,-0.596,-1.203
-0.245,-0.623,-1.278
-0.266,-0.628,-1.385
-0.298,-0.624,-1.483
-0.337,-0.612,-1.548
-0.376,-0.599,-1.597
-0.402,-0.58,-1.658
-0.413,-0.558,-1.713
-0.397,-0.508,-1.709
-0.393,-0.522,-1.678
-0.39,-0.582,-1.694
-0.316,-0.488,-1.609
-0.287,-0.458,-1.519
-0.295,-0.467,-1.487
-0.279,-0.447,-1.427
-0.241,-0.414,-1.351
-0.204,-0.394,-1.318
-0.182,-0.387,-1.317
-0.156,-0.366,-1.309
-0.107,-0.351,-1.28
-0.037,-0.352,-1.235
0.02,-0.351,-1.199
0.047,-0.342,-1.171
0.057,-0.324,-1.147
0.068,-0.3,-1.133
0.071,-0.279,-1.116
0.085,-0.274,-1.089
0.118,-0.273,-1.044
0.16,-0.287,-0.999
0.216,-0.302,-0.969
0.269,-0.293,-0.945
0.292,-0.275,-0.931
0.279,-0.255,-0.912
0.263,-0.245,-0.867
0.27,-0.254,-0.798
